,CaseNum,osmid_node,distance,street_count,highway_node,name_u,highway_u,name_v,highway_v,Mode,IncidentAddress,CrossStreets,GeocodeAddress
23,19-00523,90417767.0,4.756061504069674,3.0,,Alhambra Boulevard,secondary,Alhambra Boulevard,secondary,Driver,"Alhambra Blvd and X st., Sacramento, Sacramento, CA, 95817","['alhambra boulevard', 'x street']","alhambra boulevard & x street, Sacramento, CA 95817"
24,19-01146,90641685.0,4.109986946444439,4.0,,Erickson Street,residential,Erickson Street,residential,Pedestrian,"El Camino Avenue, 111 feet east of Erickson Street, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'erickson street']","el camino avenue & erickson street, Sacramento, CA 95815"
25,19-01146,90641685.0,4.109986946444439,4.0,,Erickson Street,residential,Erickson Street,residential,Pedestrian,"El Camino Avenue, 111 feet east of Erickson Street, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'erickson street']","el camino avenue & erickson street, Sacramento, CA 95815"
26,19-01146,90641685.0,4.109986946444439,4.0,,El Camino Avenue,secondary,El Camino Avenue,secondary,Pedestrian,"El Camino Avenue, 111 feet east of Erickson Street, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'erickson street']","el camino avenue & erickson street, Sacramento, CA 95815"
27,19-01146,90641685.0,4.109986946444439,4.0,,El Camino Avenue,secondary,El Camino Avenue,secondary,Pedestrian,"El Camino Avenue, 111 feet east of Erickson Street, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'erickson street']","el camino avenue & erickson street, Sacramento, CA 95815"
28,19-01146,3041950208.0,186.66197671345049,1.0,,Ben Ali Way,residential,Ben Ali Way,residential,Pedestrian,"El Camino Avenue, 111 feet east of Erickson Street, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'erickson street']","el camino avenue & erickson street, Sacramento, CA 95815"
29,19-01290,90330495.0,4.586053101247468,3.0,,Wah Avenue,residential,Wah Avenue,residential,Passenger,"24th Street and Wah Avenue, Sacramento, Sacramento, CA, 95822","['24th street', 'wah avenue']","24th street & wah avenue, Sacramento, CA 95822"
30,19-01290,90330495.0,4.586053101247468,3.0,,24th Street,tertiary,24th Street,tertiary,Passenger,"24th Street and Wah Avenue, Sacramento, Sacramento, CA, 95822","['24th street', 'wah avenue']","24th street & wah avenue, Sacramento, CA 95822"
31,19-01290,90330495.0,4.586053101247468,3.0,,24th Street,tertiary,24th Street,tertiary,Passenger,"24th Street and Wah Avenue, Sacramento, Sacramento, CA, 95822","['24th street', 'wah avenue']","24th street & wah avenue, Sacramento, CA 95822"
32,19-01492,1624367028.0,182.9989975454125,3.0,,Mack Road,secondary,,,Pedestrian,"Stockton Blvd 35 feet south of Mack Road , Sacramento, Sacramento, CA, 95823","['stockton boulevard', 'mack road']","stockton boulevard & mack road, Sacramento, CA 95823"
33,19-01492,5707636373.0,35.83450909306236,4.0,,Stockton Boulevard,secondary,,,Pedestrian,"Stockton Blvd 35 feet south of Mack Road , Sacramento, Sacramento, CA, 95823","['stockton boulevard', 'mack road']","stockton boulevard & mack road, Sacramento, CA 95823"
34,19-01492,5707636373.0,35.83450909306236,4.0,,Mack Road,secondary,,,Pedestrian,"Stockton Blvd 35 feet south of Mack Road , Sacramento, Sacramento, CA, 95823","['stockton boulevard', 'mack road']","stockton boulevard & mack road, Sacramento, CA 95823"
35,19-01492,5707636374.0,3.817034504921875,4.0,,Stockton Boulevard,secondary,,,Pedestrian,"Stockton Blvd 35 feet south of Mack Road , Sacramento, Sacramento, CA, 95823","['stockton boulevard', 'mack road']","stockton boulevard & mack road, Sacramento, CA 95823"
36,19-01827,9055691293.0,5.867971255735201,4.0,traffic_signals,North Market Boulevard,secondary,North Market Boulevard,secondary,Driver,"Northgate Blvd, 114 feet south of Tandy Way, Sacramento, Sacramento, CA, 95834","['northgate boulevard', 'tandy way']","northgate boulevard & tandy way, Sacramento, CA 95834"
37,19-01827,9055691293.0,5.867971255735201,4.0,traffic_signals,Tandy Way,residential,Tandy Way,residential,Driver,"Northgate Blvd, 114 feet south of Tandy Way, Sacramento, Sacramento, CA, 95834","['northgate boulevard', 'tandy way']","northgate boulevard & tandy way, Sacramento, CA 95834"
38,19-01827,9055691293.0,5.867971255735201,4.0,traffic_signals,Northgate Boulevard,secondary,,,Driver,"Northgate Blvd, 114 feet south of Tandy Way, Sacramento, Sacramento, CA, 95834","['northgate boulevard', 'tandy way']","northgate boulevard & tandy way, Sacramento, CA 95834"
39,19-01827,10315292346.0,43.99166730226519,4.0,traffic_signals,North Market Boulevard,secondary,North Market Boulevard,secondary,Driver,"Northgate Blvd, 114 feet south of Tandy Way, Sacramento, Sacramento, CA, 95834","['northgate boulevard', 'tandy way']","northgate boulevard & tandy way, Sacramento, CA 95834"
40,19-01893,90298946.0,6.332382466566997,4.0,,Q Street,secondary,,,Motorcyclist,"Intersection of 26th St and Q St, Sacramento, Sacramento, CA, 95816","['26th street', 'q street']","26th street & q street, Sacramento, CA 95816"
41,19-01893,90298946.0,6.332382466566997,4.0,,26th Street,tertiary,26th Street,tertiary,Motorcyclist,"Intersection of 26th St and Q St, Sacramento, Sacramento, CA, 95816","['26th street', 'q street']","26th street & q street, Sacramento, CA 95816"
42,19-01893,90298946.0,6.332382466566997,4.0,,26th Street,tertiary,26th Street,tertiary,Motorcyclist,"Intersection of 26th St and Q St, Sacramento, Sacramento, CA, 95816","['26th street', 'q street']","26th street & q street, Sacramento, CA 95816"
43,19-02096,3448341755.0,42.57390269539893,4.0,,Idaho Drive,residential,Idaho Drive,residential,Driver,"Franklin Blvd 162 Feet South of Idaho Dr, Sacramento, Sacramento, CA, 95823","['franklin boulevard', 'idaho drive']","franklin boulevard & idaho drive, Sacramento, CA 95823"
44,19-02096,3448341755.0,42.57390269539893,4.0,,Franklin Boulevard,secondary,,,Driver,"Franklin Blvd 162 Feet South of Idaho Dr, Sacramento, Sacramento, CA, 95823","['franklin boulevard', 'idaho drive']","franklin boulevard & idaho drive, Sacramento, CA 95823"
45,19-02581,90349330.0,6.965857653373471,3.0,,El Camino Avenue,secondary,El Camino Avenue,secondary,Motorcyclist,"El Camino Ave and Princeton St, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'princeton street']","el camino avenue & princeton street, Sacramento, CA 95815"
46,19-02581,90349330.0,6.965857653373471,3.0,,Princeton Street,residential,Princeton Street,residential,Motorcyclist,"El Camino Ave and Princeton St, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'princeton street']","el camino avenue & princeton street, Sacramento, CA 95815"
47,19-02581,90349330.0,6.965857653373471,3.0,,El Camino Avenue,secondary,El Camino Avenue,secondary,Motorcyclist,"El Camino Ave and Princeton St, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'princeton street']","el camino avenue & princeton street, Sacramento, CA 95815"
