osmid,y,x,street_count,highway,ref,geometry
90526276,38.44648,-121.424515,1,turning_circle,,POINT (-121.424515 38.44648)
90526347,38.5757949,-121.5043166,3,,,POINT (-121.5043166 38.5757949)
90526349,38.5747362,-121.5003584,4,,,POINT (-121.5003584 38.5747362)
90526351,38.5743775,-121.499007,4,,,POINT (-121.499007 38.5743775)
90526353,38.5733172,-121.4950117,4,,,POINT (-121.4950117 38.5733172)
90526358,38.5729634,-121.4936922,4,traffic_signals,,POINT (-121.4936922 38.5729634)
90526361,38.5725354,-121.4920837,4,,,POINT (-121.4920837 38.5725354)
90526362,38.5714749,-121.4880977,4,traffic_signals,,POINT (-121.4880977 38.5714749)
90526365,38.5711207,-121.4867664,4,,,POINT (-121.4867664 38.5711207)
90526367,38.5704149,-121.4841137,4,,,POINT (-121.4841137 38.5704149)
90526370,38.5700611,-121.482784,4,,,POINT (-121.482784 38.5700611)
90526372,38.5697035,-121.4814402,4,,,POINT (-121.4814402 38.5697035)
90526374,38.5689973,-121.4787858,4,,,POINT (-121.4787858 38.5689973)
90526376,38.5682908,-121.4761204,4,,,POINT (-121.4761204 38.5682908)
90526377,38.567926,-121.4747599,4,,,POINT (-121.4747599 38.567926)
90526379,38.5672164,-121.4721127,4,,,POINT (-121.4721127 38.5672164)
90526393,38.562501,-121.453295,3,,,POINT (-121.453295 38.562501)
90526400,38.5643118,-121.4623319,4,,,POINT (-121.4623319 38.5643118)
90526402,38.56359,-121.459652,4,,,POINT (-121.459652 38.56359)
90526404,38.563221,-121.458334,4,,,POINT (-121.458334 38.563221)
90526406,38.56072,-121.448054,3,,,POINT (-121.448054 38.56072)
90526408,38.5655586,-121.4660534,3,,,POINT (-121.4660534 38.5655586)
90526409,38.5653851,-121.4654119,4,,,POINT (-121.4654119 38.5653851)
90526417,38.5576191,-121.4398448,3,,,POINT (-121.4398448 38.5576191)
90526420,38.557517,-121.43946,1,,,POINT (-121.43946 38.557517)
90526424,38.559189,-121.44488,3,,,POINT (-121.44488 38.559189)
90526426,38.558967,-121.444054,4,,,POINT (-121.444054 38.558967)
90526439,38.5533089,-121.5040388,3,,,POINT (-121.5040388 38.5533089)
90526488,38.553956,-121.508388,3,,,POINT (-121.508388 38.553956)
90526490,38.554002,-121.507335,3,,,POINT (-121.507335 38.554002)
90526492,38.554029,-121.5067503,3,,,POINT (-121.5067503 38.554029)
90526501,38.5534447,-121.5039626,3,,,POINT (-121.5039626 38.5534447)
90526503,38.6463507,-121.4477701,3,,,POINT (-121.4477701 38.6463507)
90526508,38.621982,-121.437845,3,,,POINT (-121.437845 38.621982)
90526513,38.64022,-121.463496,4,,,POINT (-121.463496 38.64022)
90526515,38.638631,-121.463517,3,,,POINT (-121.463517 38.638631)
90526825,38.618378,-121.441542,3,,,POINT (-121.441542 38.618378)
90526827,38.6219944,-121.4415545,4,,,POINT (-121.4415545 38.6219944)
90526830,38.6272623,-121.4415166,1,,,POINT (-121.4415166 38.6272623)
90526853,38.6304,-121.441728,4,,,POINT (-121.441728 38.6304)
90526860,38.636623,-121.441661,4,,,POINT (-121.441661 38.636623)
90526862,38.638423,-121.441661,4,,,POINT (-121.441661 38.638423)
90526864,38.640247,-121.441661,3,,,POINT (-121.441661 38.640247)
90527511,38.6686116,-121.4998249,3,,,POINT (-121.4998249 38.6686116)
90527514,38.6681322,-121.5013036,4,,,POINT (-121.5013036 38.6681322)
90527542,38.629681,-121.522325,3,,,POINT (-121.522325 38.629681)
90527546,38.630555,-121.522769,3,,,POINT (-121.522769 38.630555)
90527550,38.63133,-121.52345,3,,,POINT (-121.52345 38.63133)
90527585,38.638132,-121.525985,3,stop,,POINT (-121.525985 38.638132)
90527643,38.6430882,-121.5321363,4,traffic_signals,,POINT (-121.5321363 38.6430882)
90527645,38.6436804,-121.5321152,2,,,POINT (-121.5321152 38.6436804)
90527659,38.6444201,-121.5318479,2,,,POINT (-121.5318479 38.6444201)
90527696,38.6527577,-121.5335579,3,stop,,POINT (-121.5335579 38.6527577)
90527739,38.62977,-121.418369,3,,,POINT (-121.418369 38.62977)
90527747,38.629747,-121.417723,3,,,POINT (-121.417723 38.629747)
90527749,38.629812,-121.417205,1,,,POINT (-121.417205 38.629812)
90527892,38.5085619,-121.5242127,3,,,POINT (-121.5242127 38.5085619)
90527937,38.509443,-121.52375,4,,,POINT (-121.52375 38.509443)
90527944,38.526443,-121.507917,3,,,POINT (-121.507917 38.526443)
90527946,38.526415,-121.506536,3,,,POINT (-121.506536 38.526415)
90527964,38.52669,-121.507894,3,,,POINT (-121.507894 38.52669)
90528704,38.5901398,-121.4800027,3,,,POINT (-121.4800027 38.5901398)
90528712,38.590702,-121.4820203,4,,,POINT (-121.4820203 38.590702)
90528880,38.6471812,-121.5337666,1,turning_circle,,POINT (-121.5337666 38.6471812)
90528887,38.48512,-121.513178,3,,,POINT (-121.513178 38.48512)
90529160,38.64815,-121.468319,3,,,POINT (-121.468319 38.64815)
90529168,38.648364,-121.467441,3,,,POINT (-121.467441 38.648364)
